rosbagTimestamp,seq,secs,nsecs,xl,yl,zl,normality
1.57E+18,53,1574069785,858138123,-0.137453784,0.184408398,0,1
1.57E+18,54,1574069786,110338604,-0.251002562,0.336745771,0,1
1.57E+18,55,1574069786,356408699,-0.107572526,0.144319616,0,1
1.57E+18,56,1574069786,578747487,-0.155382538,0.208461668,0,1
1.57E+18,57,1574069786,823320336,-0.011952503,0.016035513,0,1
1.57E+18,58,1574069787,69432241,-0.179287544,0.240532693,0,1
1.57E+18,59,1574069787,307332828,-0.029881257,0.040088782,0,1
1.57E+18,60,1574069787,558266943,-0.268931316,0.36079904,0,1
1.57E+18,61,1574069787,789849606,-0.16135879,0.216479424,0,1
1.57E+18,62,1574069788,20399237,-0.119525029,0.160355129,0,1
1.57E+18,63,1574069788,273345510,-0.221121304,0.296656988,0,1
1.57E+18,64,1574069788,510716422,-0.155382538,0.208461668,0,1
1.57E+18,65,1574069788,751078018,-0.029881257,0.040088782,0,1
1.57E+18,66,1574069788,980164701,-0.047810012,0.064142052,0,1
1.57E+18,67,1574069789,230312778,-0.047810012,0.064142052,0,1
1.57E+18,68,1574069789,453622044,-0.089643772,0.120266347,0,1
1.57E+18,69,1574069789,710793873,-0.149406287,0.200443911,0,1
1.57E+18,70,1574069789,946947889,-0.059762515,0.080177564,0,1
1.57E+18,71,1574069790,191822429,-0.173311293,0.232514937,0,1
1.57E+18,72,1574069790,440941888,-0.197216299,0.264585963,0,1
1.57E+18,73,1574069790,669575875,-0.143430035,0.192426155,0,1
1.57E+18,74,1574069790,902019425,-0.095620024,0.128284103,0,1
1.57E+18,75,1574069791,150006812,-0.131477532,0.176390642,0,1
1.57E+18,76,1574069791,387164532,-0.101596275,0.13630186,0,1
1.57E+18,77,1574069791,615848739,-0.023905006,0.032071026,0,1
1.57E+18,78,1574069791,869793048,-0.059762515,0.080177564,0,1
1.57E+18,79,1574069792,105630372,-0.179287544,0.240532693,0,1
1.57E+18,80,1574069792,353413888,-0.053786263,0.072159808,0,1
1.57E+18,81,1574069792,581239066,-0.053786263,0.072159808,0,1
1.57E+18,82,1574069792,830998468,-0.023905006,0.032071026,0,1
1.57E+18,83,1574069793,80083461,-0.095620024,0.128284103,0,1
1.57E+18,84,1574069793,304530958,-0.131477532,0.176390642,0,1
1.57E+18,85,1574069793,549354438,-0.089643772,0.120266347,0,1
1.57E+18,86,1574069793,782862819,-0.268931316,0.36079904,0,1
1.57E+18,87,1574069793,989163345,-0.209168801,0.280621475,0,1
1.57E+18,88,1574069794,256014194,-0.221121304,0.296656988,0,1
1.57E+18,89,1574069794,510865686,-0.04183376,0.056124295,0,1
1.57E+18,90,1574069794,768966929,-0.107572526,0.144319616,0,1
1.57E+18,91,1574069795,45789478,-0.20319255,0.272603719,0,1
1.57E+18,92,1574069795,295194253,-0.053786263,0.072159808,0,1
1.57E+18,93,1574069795,530060619,-0.131477532,0.176390642,0,1
1.57E+18,94,1574069795,786630282,-0.083667521,0.11224859,0,1
1.57E+18,95,1574069796,54405495,-0.119525029,0.160355129,0,1
1.57E+18,96,1574069796,348116581,-0.251002562,0.336745771,0,1
1.57E+18,97,1574069796,573308576,-0.24502631,0.328728014,0,1
1.57E+18,98,1574069796,855084728,-0.227097556,0.304674745,0,1
1.57E+18,99,1574069797,108034561,-0.268931316,0.36079904,0,1
1.57E+18,100,1574069797,364754915,-0.239050059,0.320710258,0,1
1.57E+18,101,1574069797,642125924,-0.221121304,0.296656988,0,1
1.57E+18,102,1574069797,882793458,-0.089643772,0.120266347,0,1
1.57E+18,103,1574069798,134991684,-0.065738766,0.088195321,0,1
1.57E+18,104,1574069798,388394805,-0.101596275,0.13630186,0,1
1.57E+18,105,1574069798,645271620,-0.065738766,0.088195321,0,1
1.57E+18,106,1574069798,910877483,-0.095620024,0.128284103,0,1
1.57E+18,107,1574069799,174202959,-0.149406287,0.200443911,0,1
1.57E+18,108,1574069799,439879882,-0.239050059,0.320710258,0,1
1.57E+18,109,1574069799,690305737,-0.053786263,0.072159808,0,1
1.57E+18,110,1574069799,972522845,-0.107572526,0.144319616,0,1
1.57E+18,111,1574069800,234850362,-0.256978813,0.344763527,0,1
1.57E+18,112,1574069800,490743013,-0.143430035,0.192426155,0,1
1.57E+18,113,1574069800,774095054,-0.107572526,0.144319616,0,1
